Data,Grupos de usuários,Parceiro,compradores,comissão,cashback,vendas totais
2011-01-01,Grupo 1,Parceiro A,196,R$ 10.273,R$ 3.267,R$ 93.390
2011-01-02,Grupo 1,Parceiro A,115,R$ 7.555,R$ 2.060,R$ 68.682
2011-01-03,Grupo 1,Parceiro A,82,R$ 4.839,R$ 1.358,R$ 43.993
2011-01-04,Grupo 1,Parceiro A,172,R$ 10.419,R$ 2.907,R$ 94.722
2011-01-05,Grupo 1,Parceiro A,187,R$ 11.305,R$ 3.138,R$ 102.768
2011-01-06,Grupo 1,Parceiro A,191,R$ 11.202,R$ 3.068,R$ 101.838
2011-01-07,Grupo 1,Parceiro A,174,R$ 10.730,R$ 2.954,R$ 97.541
2011-01-08,Grupo 1,Parceiro A,252,R$ 14.455,R$ 4.007,R$ 131.409
2011-01-09,Grupo 1,Parceiro A,98,R$ 5.350,R$ 1.478,R$ 48.640
2011-01-10,Grupo 1,Parceiro A,127,R$ 7.120,R$ 1.942,R$ 64.726
2011-01-11,Grupo 1,Parceiro A,257,R$ 13.075,R$ 3.576,R$ 118.866
2011-01-12,Grupo 1,Parceiro A,175,R$ 9.662,R$ 2.656,R$ 87.836
2011-01-13,Grupo 1,Parceiro A,289,R$ 20.450,R$ 5.665,R$ 185.913
2011-01-14,Grupo 1,Parceiro A,233,R$ 18.464,R$ 5.036,R$ 167.857
2011-01-15,Grupo 1,Parceiro A,118,R$ 8.353,R$ 2.312,R$ 75.938
2011-01-16,Grupo 1,Parceiro A,85,R$ 6.132,R$ 1.681,R$ 55.746
2011-01-17,Grupo 1,Parceiro A,88,R$ 6.312,R$ 1.728,R$ 57.385
2011-01-18,Grupo 1,Parceiro A,162,R$ 10.043,R$ 2.746,R$ 91.304
2011-01-19,Grupo 1,Parceiro A,174,R$ 9.132,R$ 2.491,R$ 83.020
2011-01-20,Grupo 1,Parceiro A,201,R$ 12.112,R$ 3.303,R$ 110.110
2011-01-21,Grupo 1,Parceiro A,94,R$ 5.766,R$ 1.587,R$ 52.418
2011-01-22,Grupo 1,Parceiro A,70,R$ 4.738,R$ 1.313,R$ 43.075
2011-01-23,Grupo 1,Parceiro A,48,R$ 3.529,R$ 998,R$ 32.085
2011-01-24,Grupo 1,Parceiro A,73,R$ 4.593,R$ 1.253,R$ 41.756
2011-01-25,Grupo 1,Parceiro A,108,R$ 6.353,R$ 1.778,R$ 57.752
2011-01-26,Grupo 1,Parceiro A,176,R$ 10.108,R$ 2.778,R$ 91.893
2011-01-27,Grupo 1,Parceiro A,120,R$ 8.814,R$ 2.413,R$ 80.130
2011-01-28,Grupo 1,Parceiro A,101,R$ 6.100,R$ 1.664,R$ 55.458
2011-01-29,Grupo 1,Parceiro A,80,R$ 5.943,R$ 1.621,R$ 54.031
2011-01-30,Grupo 1,Parceiro A,39,R$ 2.420,R$ 660,R$ 21.996
2011-01-31,Grupo 1,Parceiro A,35,R$ 2.071,R$ 565,R$ 18.831
2011-02-01,Grupo 1,Parceiro A,50,R$ 3.395,R$ 926,R$ 30.867
2011-02-02,Grupo 1,Parceiro A,57,R$ 3.660,R$ 998,R$ 33.275
2011-02-03,Grupo 1,Parceiro A,73,R$ 4.673,R$ 1.274,R$ 42.482
2011-02-04,Grupo 1,Parceiro A,91,R$ 5.876,R$ 1.628,R$ 53.416
2011-02-05,Grupo 1,Parceiro A,93,R$ 6.730,R$ 1.835,R$ 61.178
2011-02-06,Grupo 1,Parceiro A,76,R$ 5.077,R$ 1.401,R$ 46.156
2011-02-07,Grupo 1,Parceiro A,80,R$ 5.623,R$ 1.533,R$ 51.116
2011-02-08,Grupo 1,Parceiro A,104,R$ 7.132,R$ 1.962,R$ 64.832
2011-02-09,Grupo 1,Parceiro A,104,R$ 7.377,R$ 2.012,R$ 67.065
2011-02-10,Grupo 1,Parceiro A,97,R$ 5.374,R$ 1.466,R$ 48.850
2011-02-11,Grupo 1,Parceiro A,123,R$ 6.930,R$ 1.926,R$ 63.001
2011-02-12,Grupo 1,Parceiro A,135,R$ 7.290,R$ 1.998,R$ 66.273
2011-02-13,Grupo 1,Parceiro A,45,R$ 2.936,R$ 801,R$ 26.690
2011-02-14,Grupo 1,Parceiro A,83,R$ 7.017,R$ 1.914,R$ 63.790
2011-02-15,Grupo 1,Parceiro A,123,R$ 8.200,R$ 2.236,R$ 74.548
2011-02-16,Grupo 1,Parceiro A,111,R$ 7.466,R$ 2.040,R$ 67.877
2011-02-17,Grupo 1,Parceiro A,99,R$ 6.098,R$ 1.663,R$ 55.434
2011-02-18,Grupo 1,Parceiro A,94,R$ 7.339,R$ 2.023,R$ 66.715
2011-02-19,Grupo 1,Parceiro A,82,R$ 5.331,R$ 1.454,R$ 48.465
2011-02-20,Grupo 1,Parceiro A,62,R$ 4.090,R$ 1.116,R$ 37.185
2011-02-21,Grupo 1,Parceiro A,73,R$ 5.459,R$ 1.497,R$ 49.624
2011-02-22,Grupo 1,Parceiro A,90,R$ 6.196,R$ 1.711,R$ 56.330
2011-02-23,Grupo 1,Parceiro A,103,R$ 7.682,R$ 3.521,R$ 69.836
2011-02-24,Grupo 1,Parceiro A,53,R$ 3.934,R$ 1.784,R$ 35.763
2011-02-25,Grupo 1,Parceiro A,51,R$ 3.085,R$ 1.402,R$ 28.049
2011-02-26,Grupo 1,Parceiro A,60,R$ 2.795,R$ 1.273,R$ 25.413
2011-02-27,Grupo 1,Parceiro A,65,R$ 2.803,R$ 1.272,R$ 25.485
2011-02-28,Grupo 1,Parceiro A,87,R$ 5.855,R$ 2.661,R$ 53.229
2011-03-01,Grupo 1,Parceiro A,68,R$ 4.123,R$ 1.874,R$ 37.483
2011-03-02,Grupo 1,Parceiro A,90,R$ 4.765,R$ 2.166,R$ 43.322
2011-03-03,Grupo 1,Parceiro A,72,R$ 3.725,R$ 1.697,R$ 33.862
2011-03-04,Grupo 1,Parceiro A,59,R$ 2.739,R$ 1.245,R$ 24.904
2011-03-05,Grupo 1,Parceiro A,69,R$ 4.121,R$ 1.873,R$ 37.465
2011-03-06,Grupo 1,Parceiro A,62,R$ 3.827,R$ 1.740,R$ 34.791
2011-03-07,Grupo 1,Parceiro A,37,R$ 2.733,R$ 1.242,R$ 24.848
2011-03-08,Grupo 1,Parceiro A,54,R$ 3.163,R$ 1.438,R$ 28.755
2011-03-09,Grupo 1,Parceiro A,78,R$ 5.093,R$ 2.316,R$ 46.303
2011-03-10,Grupo 1,Parceiro A,108,R$ 6.209,R$ 2.822,R$ 56.449
2011-03-11,Grupo 1,Parceiro A,196,R$ 17.914,R$ 11.535,R$ 115.574
2011-03-12,Grupo 1,Parceiro A,216,R$ 18.911,R$ 12.174,R$ 122.008
2011-03-13,Grupo 1,Parceiro A,161,R$ 14.469,R$ 9.331,R$ 93.312
2011-03-14,Grupo 1,Parceiro A,185,R$ 22.995,R$ 14.836,R$ 148.355
2011-03-15,Grupo 1,Parceiro A,124,R$ 7.791,R$ 3.637,R$ 70.827
2011-03-16,Grupo 1,Parceiro A,93,R$ 7.012,R$ 3.200,R$ 63.743
2011-03-17,Grupo 1,Parceiro A,68,R$ 3.657,R$ 1.662,R$ 33.246
2011-03-18,Grupo 1,Parceiro A,83,R$ 4.952,R$ 2.251,R$ 45.015
2011-03-19,Grupo 1,Parceiro A,66,R$ 4.935,R$ 2.243,R$ 44.865
2011-03-20,Grupo 1,Parceiro A,58,R$ 3.459,R$ 1.572,R$ 31.449
