Data,Grupos de usuários,Parceiro,compradores,comissão,cashback,vendas totais
2011-05-01,Grupo 1,Parceiro B,90,R$ 4.170,R$ 1.516,R$ 37.908
2011-05-02,Grupo 1,Parceiro B,115,R$ 5.850,R$ 2.127,R$ 53.179
2011-05-03,Grupo 1,Parceiro B,145,R$ 8.880,R$ 3.229,R$ 80.729
2011-05-04,Grupo 1,Parceiro B,163,R$ 7.783,R$ 2.830,R$ 70.756
2011-05-05,Grupo 1,Parceiro B,137,R$ 6.363,R$ 2.314,R$ 57.841
2011-05-06,Grupo 1,Parceiro B,117,R$ 6.707,R$ 2.439,R$ 60.970
2011-05-07,Grupo 1,Parceiro B,69,R$ 3.471,R$ 1.262,R$ 31.558
2011-05-08,Grupo 1,Parceiro B,90,R$ 5.241,R$ 1.906,R$ 47.641
2011-05-09,Grupo 1,Parceiro B,111,R$ 6.576,R$ 2.391,R$ 59.781
2011-05-10,Grupo 1,Parceiro B,150,R$ 6.886,R$ 2.504,R$ 62.603
2011-05-11,Grupo 1,Parceiro B,157,R$ 9.692,R$ 3.524,R$ 88.110
2011-05-12,Grupo 1,Parceiro B,131,R$ 6.461,R$ 2.349,R$ 58.733
2011-05-13,Grupo 1,Parceiro B,167,R$ 8.928,R$ 3.247,R$ 81.164
2011-05-14,Grupo 1,Parceiro B,72,R$ 3.454,R$ 1.256,R$ 31.400
2011-05-15,Grupo 1,Parceiro B,396,R$ 23.591,R$ 8.579,R$ 214.464
2011-05-16,Grupo 1,Parceiro B,149,R$ 9.306,R$ 3.384,R$ 84.600
2011-05-17,Grupo 1,Parceiro B,132,R$ 8.979,R$ 3.265,R$ 81.630
2011-05-18,Grupo 1,Parceiro B,128,R$ 7.474,R$ 2.718,R$ 67.946
2011-05-19,Grupo 1,Parceiro B,166,R$ 9.945,R$ 3.616,R$ 90.412
2011-05-20,Grupo 1,Parceiro B,161,R$ 9.494,R$ 3.452,R$ 86.310
2011-05-21,Grupo 1,Parceiro B,100,R$ 4.681,R$ 1.702,R$ 42.553
2011-05-22,Grupo 1,Parceiro B,292,R$ 15.295,R$ 5.562,R$ 139.048
2011-05-23,Grupo 1,Parceiro B,102,R$ 5.211,R$ 1.895,R$ 47.371
2011-05-24,Grupo 1,Parceiro B,104,R$ 5.420,R$ 1.971,R$ 49.277
2011-05-25,Grupo 1,Parceiro B,145,R$ 7.846,R$ 2.853,R$ 71.323
2011-05-26,Grupo 1,Parceiro B,133,R$ 6.724,R$ 2.445,R$ 61.124
2011-05-27,Grupo 1,Parceiro B,120,R$ 8.063,R$ 2.932,R$ 73.299
2011-05-28,Grupo 1,Parceiro B,97,R$ 5.791,R$ 2.106,R$ 52.642
2011-05-29,Grupo 1,Parceiro B,70,R$ 4.371,R$ 1.589,R$ 39.736
2011-05-30,Grupo 1,Parceiro B,108,R$ 5.880,R$ 2.138,R$ 53.452
2011-05-31,Grupo 1,Parceiro B,161,R$ 9.725,R$ 3.536,R$ 88.408
2011-06-01,Grupo 1,Parceiro B,140,R$ 8.599,R$ 3.127,R$ 78.176
2011-06-02,Grupo 1,Parceiro B,167,R$ 10.607,R$ 3.857,R$ 96.427
2011-06-03,Grupo 1,Parceiro B,118,R$ 5.486,R$ 1.995,R$ 49.876
2011-06-04,Grupo 1,Parceiro B,82,R$ 4.255,R$ 1.547,R$ 38.679
2011-06-05,Grupo 1,Parceiro B,72,R$ 4.848,R$ 1.763,R$ 44.073
