Data,Grupos de usuários,Parceiro,compradores,comissão,cashback,vendas totais
2011-07-01,Grupo 1,Parceiro C,101,R$ 2.911,R$ 2.079,R$ 41.585
2011-07-02,Grupo 1,Parceiro C,57,R$ 1.774,R$ 1.267,R$ 25.347
2011-07-03,Grupo 1,Parceiro C,72,R$ 2.083,R$ 1.488,R$ 29.761
2011-07-04,Grupo 1,Parceiro C,123,R$ 3.495,R$ 2.497,R$ 49.930
2011-07-05,Grupo 1,Parceiro C,102,R$ 2.247,R$ 1.605,R$ 32.093
2011-07-06,Grupo 1,Parceiro C,124,R$ 3.074,R$ 2.196,R$ 43.920
2011-07-07,Grupo 1,Parceiro C,109,R$ 3.303,R$ 2.359,R$ 47.186
2011-07-08,Grupo 1,Parceiro C,128,R$ 3.133,R$ 2.238,R$ 44.755
2011-07-09,Grupo 1,Parceiro C,69,R$ 1.768,R$ 1.263,R$ 25.259
2011-07-10,Grupo 1,Parceiro C,68,R$ 1.661,R$ 1.186,R$ 23.728
2011-07-11,Grupo 1,Parceiro C,89,R$ 2.292,R$ 1.637,R$ 32.744
2011-07-12,Grupo 1,Parceiro C,134,R$ 3.817,R$ 2.727,R$ 54.532
2011-07-13,Grupo 1,Parceiro C,138,R$ 3.840,R$ 2.743,R$ 54.863
2011-07-14,Grupo 1,Parceiro C,108,R$ 2.928,R$ 2.091,R$ 41.827
2011-07-15,Grupo 1,Parceiro C,86,R$ 2.093,R$ 1.495,R$ 29.895
2011-07-16,Grupo 1,Parceiro C,74,R$ 2.031,R$ 1.451,R$ 29.020
2011-07-17,Grupo 1,Parceiro C,77,R$ 2.020,R$ 1.443,R$ 28.850
2011-07-18,Grupo 1,Parceiro C,106,R$ 2.497,R$ 1.783,R$ 35.667
2011-07-19,Grupo 1,Parceiro C,108,R$ 3.334,R$ 2.381,R$ 47.626
2011-07-20,Grupo 1,Parceiro C,132,R$ 3.047,R$ 2.177,R$ 43.533
2011-07-21,Grupo 1,Parceiro C,95,R$ 2.543,R$ 1.816,R$ 36.323
2011-07-22,Grupo 1,Parceiro C,123,R$ 3.056,R$ 2.183,R$ 43.659
2011-07-23,Grupo 1,Parceiro C,89,R$ 2.605,R$ 1.861,R$ 37.217
2011-07-24,Grupo 1,Parceiro C,77,R$ 1.823,R$ 1.302,R$ 26.037
2011-07-25,Grupo 1,Parceiro C,93,R$ 2.003,R$ 1.431,R$ 28.617
2011-07-26,Grupo 1,Parceiro C,95,R$ 2.502,R$ 1.787,R$ 35.741
2011-07-27,Grupo 1,Parceiro C,135,R$ 2.977,R$ 2.127,R$ 42.534
2011-07-28,Grupo 1,Parceiro C,115,R$ 3.218,R$ 2.298,R$ 45.968
2011-07-29,Grupo 1,Parceiro C,97,R$ 2.783,R$ 1.988,R$ 39.755
2011-07-30,Grupo 1,Parceiro C,76,R$ 1.815,R$ 1.296,R$ 25.923
2011-07-31,Grupo 1,Parceiro C,77,R$ 1.643,R$ 1.174,R$ 23.473
2011-08-01,Grupo 1,Parceiro C,123,R$ 3.625,R$ 2.589,R$ 51.789
2011-08-02,Grupo 1,Parceiro C,88,R$ 2.271,R$ 1.622,R$ 32.439
2011-08-03,Grupo 1,Parceiro C,96,R$ 3.021,R$ 2.158,R$ 43.163
